,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
Rk,Player,From,To,Pos,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
153,Hans Jonsson\jonssha01,2000,2003,D,242,10,38,48,-29,92,,,,,,,Jarved,1973-08-02,
154,Jorgen Jonsson\jonssjo01,2000,2000,LW,81,12,19,31,-8,16,,,,,,,Angelholm,1972-09-29,
155,Kenny Jonsson\jonsske01,1995,2004,D,686,63,204,267,-16,298,,,,,,,Angelholm,1974-10-06,
156,Lars Jonsson\jonssla01,2007,2007,D,8,0,2,2,-4,6,,,,,,,Borlange,1982-01-02,
157,Tomas Jonsson\jonssto01,1982,1989,D,552,85,259,344,64,482,,,,,,,Falun,1960-04-12,
158,Jacob Josefson\josefja01,2011,2018,C,315,20,44,64,-21,84,,,,,,,Stockholm,1991-03-02,
159,Patrik Juhlin\juhlipa01,1995,1996,LW,56,7,6,13,-9,23,,,,,,,Huddinge,1970-04-24,
160,Jonas Junland\junlajo01,2009,2010,D,4,0,2,2,-3,2,,,,,,,Linkoping,1987-11-15,
161,Anders Kallur\kalluan01,1980,1985,RW,383,101,110,211,42,149,,,,,,,Ludvika,1952-07-06,
162,Kyosti Karjalainen\karjaky01,1992,1992,RW,28,1,8,9,4,12,,,,,,,Gavle,1967-06-19,
163,Andreas Karlsson\karlsan01,2000,2008,C,264,16,35,51,-38,72,,,,,,,Ludvika,1975-08-19,
164,Erik Karlsson\karlser01,2010,2020,D,726,134,463,597,-42,352,,,,,,,Landsbro,1990-05-31,
165,Henrik Karlsson\karlshe01,2011,2012,G,26,0,0,0,0,0,26,5,9,8,.905,2.79,Tumba,1983-11-27,
166,Melker Karlsson\karlsme01,2015,2020,C,378,57,50,107,-7,122,,,,,,,Lycksele,1990-07-18,
167,William Karlsson\karlswi01,2015,2020,C,395,95,122,217,60,58,,,,,,,Marsta,1993-01-08,
168,Christer Kellgren\kellgch01,1982,1982,RW,5,0,0,0,-4,0,,,,,,,Gothenburg,1958-08-15,
169,Joel Kellman\kellmjo01,2020,2020,F,11,1,1,2,0,0,,,,,,,Karlskrona,1994-05-25,
170,Adrian Kempe\kempead01,2017,2020,LW,233,40,50,90,-5,124,,,,,,,Kramfors,1996-09-13,
171,Mario Kempe\kempema01,2018,2019,C,70,6,7,13,4,22,,,,,,,Kramfors,1988-09-19,
172,Patric Kjellberg\kjellpa01,1993,2003,RW,394,64,96,160,-50,84,,,,,,,Trelleborg,1969-06-17,
173,Linus Klasen\klaseli01,2011,2011,LW,4,0,0,0,-3,0,,,,,,,Stockholm,1986-02-19,
174,Oscar Klefbom\klefbos01,2014,2020,D,363,34,115,149,-62,62,,,,,,,Karlstad,1993-07-20,
175,Carl Klingberg\klingca01,2011,2015,LW,12,1,0,1,0,4,,,,,,,Gothenburg,1991-01-28,
176,John Klingberg\klingjo01,2015,2020,D,401,54,223,277,36,148,,,,,,,Gothenburg,1992-08-14,
177,Niklas Kronwall\kronwni01,2004,2019,D,953,83,349,432,-5,564,,,,,,,Stockholm,1981-01-12,
178,Staffan Kronwall\kronwst01,2006,2010,D,66,1,3,4,-7,23,,,,,,,Jarfalla,1982-09-10,
179,Marcus Kruger\krugema01,2011,2019,C,520,38,85,123,5,234,,,,,,,Stockholm,1990-05-27,
180,Oliver Kylington\kylinol01,2016,2020,D,74,4,8,12,-3,22,,,,,,,Stockholm,1997-05-19,
181,Dan Labraaten\labrada01,1979,1982,LW,268,71,73,144,-35,47,,,,,,,Leksand,1951-06-09,
182,Eddie Lack\lacked01,2014,2018,G,144,0,2,2,0,2,144,56,55,18,.909,2.62,Norrtalje,1988-01-05,
183,William Lagesson\lageswi01,2020,2020,D,2,0,0,0,-1,0,,,,,,,Gothenburg,1996-02-22,
184,Anton Lander\landean01,2012,2017,C,215,10,25,35,-41,56,,,,,,,Sundsvall,1991-04-24,
185,Gabriel Landeskog\landega01,2012,2020,LW,608,188,247,435,30,471,,,,,,,Stockholm,1992-11-23,
186,Adam Larsson\larssad01,2012,2020,D,523,20,105,125,7,305,,,,,,,Skelleftea,1992-11-12,
187,Jacob Larsson\larssja01,2017,2020,D,89,1,8,9,-14,28,,,,,,,Ljungby,1997-04-29,
188,Johan Larsson\larssjo02,2013,2020,LW/C,371,36,55,91,-43,184,,,,,,,Lau,1992-07-25,
189,Per Ledin\ledinpe01,2009,2009,LW,3,0,0,0,-1,2,,,,,,,Lulea,1978-09-14,
190,Tommy Lehman\lehmato01,1988,1990,C,36,5,5,10,-6,16,,,,,,,Stockholm,1964-02-03,
191,Robin Lehner\lehnero01,2011,2020,G,291,0,4,4,0,24,291,110,117,44,.918,2.71,Gothenburg,1991-07-24,
192,Nicklas Lidstrom*\lidstni01,1992,2012,D,1564,264,878,1142,450,514,,,,,,,Vasteras,1970-04-28,
193,Andreas Lilja\liljaan01,2001,2013,D,580,16,71,87,32,563,,,,,,,Helsingborg,1975-07-13,
194,Jakob Lilja\liljaja01,2020,2020,F,21,1,2,3,2,2,,,,,,,Limhamn,1993-07-23,
195,Anders Lindback\lindban01,2011,2016,G,130,0,4,4,0,6,130,45,58,8,.904,2.87,Gavle,1988-05-03,
196,Oscar Lindberg\lindbos02,2015,2019,C,252,39,40,79,7,117,,,,,,,Skelleftea,1991-10-29,
197,Tobias Lindberg\lindbto01,2016,2016,RW,6,0,2,2,0,4,,,,,,,Stockholm,1995-07-22,
198,Pelle Lindbergh\lindbpe01,1982,1986,G,157,0,5,5,0,10,157,87,49,15,.887,3.31,Stockholm,1959-05-24,1985-11-10
199,Oskar Lindblom\lindbos01,2018,2020,LW,134,30,27,57,-1,32,,,,,,,Gavle,1996-08-15,
200,Johan Lindbom\lindbjo01,1998,1998,LW,38,1,3,4,4,28,,,,,,,Alvesta,1971-07-08,
201,Lars Lindgren\lindgla01,1979,1984,D,394,25,113,138,-22,325,,,,,,,Pitea,1952-10-12,
202,Mats Lindgren\lindgma01,1997,2003,C/LW,387,54,74,128,1,146,,,,,,,Skelleftea,1974-10-01,
203,Anton Lindholm\lindhan01,2017,2020,D,66,0,5,5,-4,16,,,,,,,Skelleftea,1994-11-29,
204,Elias Lindholm\lindhel01,2014,2020,C,503,111,191,302,-49,114,,,,,,,Boden,1994-12-02,
205,Hampus Lindholm\lindhha01,2014,2020,D,485,49,139,188,74,254,,,,,,,Helsingborg,1994-01-20,
206,Mikael Lindholm\lindhmi01,1990,1990,C,18,2,2,4,2,2,,,,,,,Gavle,1964-12-19,
207,Par Lindholm\lindhpa01,2019,2020,C,92,3,13,16,7,22,,,,,,,Kusmark,1991-10-05,
208,Joakim Lindstrom\lindsjo01,2006,2015,C,150,19,24,43,-33,58,,,,,,,Skelleftea,1983-12-05,
209,Willy Lindstrom\lindswi01,1980,1987,RW,582,161,162,323,-2,200,,,,,,,Grums,1951-05-05,
210,Hakan Loob\loobha01,1984,1989,RW,450,193,236,429,103,189,,,,,,,Karlstad,1960-07-03,
211,Peter Loob\loobpe01,1985,1985,D,8,1,2,3,5,0,,,,,,,Karlstad,1957-07-23,
212,Viktor Loov\loovvi01,2016,2016,D,4,0,2,2,4,0,,,,,,,Sodertalje,1992-11-16,
213,Isac Lundestrom\lundeis01,2019,2020,C,30,0,6,6,-3,2,,,,,,,Gallivare,1999-11-06,
214,Bengt Lundholm\lundhbe01,1982,1986,LW,275,48,95,143,10,72,,,,,,,Falun,1955-08-04,
215,Henrik Lundqvist\lundqhe01,2006,2020,G,882,0,26,26,0,18,882,458,308,96,.918,2.43,Are,1982-03-02,
216,Joel Lundqvist\lundqjo01,2007,2009,C,134,7,19,26,-17,56,,,,,,,Are,1982-03-02,
217,Tord Lundstrom\lundsto01,1974,1974,LW,11,1,1,2,-2,0,,,,,,,Kiruna,1945-03-04,
