,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
Rk,Player,From,To,Pos,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
160,Esa Pirnes\pirnees01,2004,2004,C,57,3,8,11,-9,12,,,,,,,Oulu,1977-04-01,
161,Joni Pitkanen\pitkajo01,2004,2013,D,535,57,225,282,-8,484,,,,,,,Oulu,1983-09-19,
162,Jukka Porvari\porvaju01,1982,1983,RW,39,3,9,12,-23,4,,,,,,,Tampere,1954-01-19,
163,Al Pudas\pudasal01,1927,1927,W,4,0,0,0,,0,,,,,,,Siikajoki,1899-02-17,1976-10-28
164,Teemu Pulkkinen\pulkkte01,2014,2017,RW,83,13,9,22,5,32,,,,,,,Vantaa,1992-01-02,
165,Mika Pyorala\pyorami01,2010,2010,C,36,2,2,4,-3,10,,,,,,,Oulu,1981-07-13,
166,Antti Raanta\raantan01,2014,2020,G,174,0,3,3,0,2,174,82,55,17,.920,2.39,Rauma,1989-05-12,
167,Karri Ramo\ramoka01,2007,2016,G,159,0,4,4,0,16,159,60,63,18,.906,2.85,Asikkala,1986-07-01,
168,Mikko Rantanen\rantami01,2016,2020,RW,268,95,145,240,-23,116,,,,,,,Nousiainen,1996-10-29,
169,Joonas Rask\raskjo01,2013,2013,C,2,0,1,1,-1,0,,,,,,,Savonlinna,1990-03-24,
170,Tuukka Rask\rasktu01,2008,2020,G,522,0,15,15,0,24,522,282,154,64,.921,2.28,Savonlinna,1987-03-10,
171,Pekka Rautakallio\rautape01,1980,1982,D,235,33,121,154,13,122,,,,,,,Pori,1953-07-25,
172,Juuso Riikola\riikoju01,2019,2020,D,60,3,9,12,7,12,,,,,,,Joensuu,1993-11-09,
173,Pekka Rinne\rinnepe01,2006,2020,G,650,1,13,14,0,56,650,356,196,73,.918,2.40,Kempele,1982-11-03,
174,Rasmus Rissanen\rissara01,2015,2015,D,6,0,0,0,-5,4,,,,,,,Kuopio,1991-07-13,
175,Rasmus Ristolainen\ristora01,2014,2020,D,470,41,174,215,-143,243,,,,,,,Turku,1994-10-27,
176,Jani Rita\ritaja01,2002,2006,LW,66,9,5,14,-4,10,,,,,,,Helsinki,1981-07-25,
177,Reijo Ruotsalainen\ruotsre01,1982,1990,D,446,107,237,344,65,180,,,,,,,Oulu,1960-04-01,
178,Christian Ruuttu\ruuttch01,1987,1995,C,621,134,298,432,40,714,,,,,,,Lappeenranta,1964-02-20,
179,Jarkko Ruutu\ruutuja01,2000,2011,RW,652,58,84,142,-21,1078,,,,,,,Vantaa,1975-08-23,
180,Tuomo Ruutu\ruututu01,2004,2016,C/LW,735,148,198,346,-70,596,,,,,,,Vantaa,1983-02-16,
181,Jussi Rynnas\rynnaju01,2012,2015,G,5,0,0,0,0,0,5,0,2,0,.844,4.17,Pori,1987-05-22,
182,Aleksi Saarela\saareal01,2020,2020,C,3,0,0,0,0,0,,,,,,,Helsinki,1997-01-07,
183,Simo Saarinen\saarisi01,1985,1985,D,8,0,0,0,-5,8,,,,,,,Helsinki,1963-02-14,
184,Anssi Salmela\salmean01,2009,2011,D,112,4,17,21,-11,44,,,,,,,Nokia,1984-08-13,
185,Tony Salmelainen\salmeto01,2004,2007,LW,70,6,12,18,-4,30,,,,,,,Espoo,1981-08-08,
186,Sami Salo\salosa01,1999,2014,D,878,99,240,339,130,286,,,,,,,Turku,1974-09-02,
187,Miikka Salomaki\salommi01,2015,2020,RW,167,12,15,27,-2,76,,,,,,,Raahe,1993-03-09,
188,Tomas Sandstrom\sandsto01,1985,1999,RW,983,394,462,856,8,1193,,,,,,,Jakobstad,1964-09-04,
189,Tommi Santala\santato01,2004,2007,C,63,2,7,9,-7,46,,,,,,,Helsinki,1979-06-27,
190,Juuse Saros\sarosju01,2016,2020,G,101,0,4,4,0,0,101,44,31,16,.916,2.62,Forssa,1995-04-19,
191,Harri Sateri\saterha01,2018,2018,G,9,0,0,0,0,0,9,4,4,0,.911,2.92,Toijala,1989-12-29,
192,Teemu Selanne*\selante01,1993,2014,RW,1451,684,773,1457,95,660,,,,,,,Helsinki,1970-07-03,
193,Jyrki Seppa\seppajy01,1984,1984,D,13,0,2,2,-9,6,,,,,,,Tampere,1961-11-14,
194,Risto Siltanen\siltari01,1980,1987,D,562,90,265,355,-79,266,,,,,,,Mantta,1958-10-31,
195,Ilkka Sinisalo\sinisil01,1982,1992,RW,582,204,223,427,126,208,,,,,,,Hauho,1958-07-10,2017-04-05
196,Ville Siren\sirenvi01,1986,1990,D,290,14,68,82,15,276,,,,,,,Tampere,1964-02-11,
197,Petri Skriko\skrikpe01,1985,1993,RW,541,183,222,405,-101,246,,,,,,,Lappeenranta,1962-03-13,
198,Kai Suikkanen\suikkka01,1982,1983,RW,2,0,0,0,0,0,,,,,,,Parkano,1959-06-29,
199,Raimo Summanen\summara01,1984,1988,LW,151,36,40,76,6,35,,,,,,,Jyvaskyla,1962-03-02,
200,Antti Suomela\suomean01,2019,2020,C,36,3,6,9,2,4,,,,,,,Espoo,1994-03-17,
201,Kari Takko\takkoka01,1986,1991,G,142,0,2,2,0,30,142,37,71,14,.878,3.90,Uusikaupunki,1962-06-23,
202,Iiro Tarkki\tarkkii01,2012,2012,G,1,0,0,0,0,0,1,1,0,0,.700,4.41,Rauma,1985-07-01,
203,Teuvo Teravainen\teravte01,2014,2020,F,406,85,184,269,49,72,,,,,,,Helsinki,1994-09-11,
204,Esa Tikkanen\tikkaes01,1986,1999,LW,877,244,386,630,82,1077,,,,,,,Helsinki,1965-01-25,
205,Jussi Timonen\timonju01,2007,2007,D,14,0,4,4,-10,6,,,,,,,Kuopio,1983-06-29,
206,Kimmo Timonen\timonki01,1999,2015,D,1108,117,454,571,35,654,,,,,,,Kuopio,1975-03-18,
207,Hannu Toivonen\toivoha01,2006,2008,G,61,0,0,0,0,10,61,18,24,10,.890,3.37,Kalvola,1984-05-18,
208,Eeli Tolvanen\tolvaee01,2018,2019,RW,7,1,1,2,2,0,,,,,,,Vihti,1999-04-22,
209,Jari Torkki\torkkja01,1989,1989,LW,4,1,0,1,-2,0,,,,,,,Rauma,1965-08-11,
210,Antti Tormanen\tormaan01,1996,1996,RW,50,7,8,15,-15,28,,,,,,,Espoo,1970-09-19,
211,Vesa Toskala\toskave01,2002,2010,G,266,0,10,10,0,16,266,129,82,30,.902,2.76,Tampere,1977-05-20,
212,Lauri Tukonen\tukonla01,2007,2008,RW,5,0,0,0,-2,0,,,,,,,Hyvinkaa,1986-09-01,
213,Marko Tuomainen\tuomama01,1995,2002,RW,79,9,9,18,-12,84,,,,,,,Kuopio,1972-04-25,
214,Urho Vaakanainen\vaakaur01,2019,2020,D,7,0,0,0,1,0,,,,,,,Joensuu,1999-01-01,
215,Ossi Vaananen\vaanaos01,2001,2009,D,479,13,55,68,26,482,,,,,,,Vantaa,1980-08-18,
216,Juuso Valimaki\valimju01,2019,2019,D,24,1,2,3,-2,12,,,,,,,Tampere,1998-10-06,
217,Petri Varis\varispe01,1998,1998,LW,1,0,0,0,0,0,,,,,,,Varkaus,1969-05-13,
218,Jarkko Varvio\varvija01,1994,1995,RW,13,3,4,7,2,4,,,,,,,Tampere,1972-04-28,
219,Sami Vatanen\vatansa01,2013,2020,D,428,45,148,193,-2,188,,,,,,,Jyvaskyla,1991-06-03,
220,Kristian Vesalainen\vesalkr01,2019,2019,W,5,0,1,1,0,0,,,,,,,Helsinki,1999-06-01,
221,Vesa Viitakoski\viitave01,1994,1996,LW,23,2,4,6,-2,8,,,,,,,Lappeenranta,1971-02-13,
