,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
129,Ivan Ciernik\cierniv01,23,OTT,LW,4,2,0,2,2,2,0.4,2,0,0,0,0,0,0,7,28.6,31,7:41
130,Marian Cisar\cisarma01,22,NSH,RW,60,12,15,27,-7,45,2.7,7,5,0,1,12,3,0,97,12.4,790,13:10
131,Brett Clark\clarkbr01,24,ATL,D,28,1,2,3,-12,14,-0.2,1,0,0,0,2,0,0,35,2.9,505,18:02
132,Chris Clark\clarkch01,24,CGY,RW,29,5,1,6,0,38,0.6,4,1,0,0,1,0,0,43,11.6,346,11:56
133,Dale Clarke\clarkda02,22,STL,D,3,0,0,0,1,0,0.1,0,0,0,0,0,0,0,5,0.0,41,13:38
134,Greg Classen\classgr01,23,NSH,C,27,2,4,6,-4,14,0.3,1,1,0,0,3,1,0,18,11.1,277,10:16
135,Dan Cleary\clearda01,22,EDM,RW,81,14,21,35,5,37,3.3,12,2,0,2,14,7,0,107,13.1,1051,12:58
136,Ben Clymer\clymebe01,22,TBL,D,23,5,1,6,-7,21,0.9,2,3,0,0,1,0,0,25,20.0,300,13:03
137,Paul Coffey*\coffepa01,39,BOS,D,18,0,4,4,-6,30,0.3,0,0,0,0,3,1,0,28,0.0,341,18:57
138,Mike Commodore\commomi01,21,NJD,D,20,1,4,5,5,14,1.1,1,0,0,0,4,0,0,11,9.1,255,12:46
139,Mike Comrie\comrimi01,20,EDM,C,41,8,14,22,6,14,2.5,5,3,0,1,11,3,0,62,12.9,467,11:23
140,Tim Connolly\connoti01,19,NYI,C,82,10,31,41,-14,42,2.2,5,5,0,0,16,14,1,171,5.8,1642,20:02
141,Craig Conroy\conrocr01,29,TOT,C,83,14,18,32,2,60,2.9,10,0,4,2,15,3,0,133,10.5,1221,14:43
141,Craig Conroy\conrocr01,29,STL,C,69,11,14,25,2,46,2.3,8,0,3,2,13,1,0,101,10.9,967,14:01
141,Craig Conroy\conrocr01,29,CGY,C,14,3,4,7,0,14,0.6,2,0,1,0,2,2,0,32,9.4,254,18:08
142,Matt Cooke\cookema01,22,VAN,RW,81,14,13,27,5,94,2.4,12,0,2,0,13,0,0,121,11.6,1181,14:35
143,David Cooper\coopeda01,27,TOR,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0.0,23,11:33
144,Rene Corbet\corbere01,27,PIT,LW,43,8,9,17,-3,57,1.4,6,2,0,1,7,1,1,85,9.4,493,11:28
145,Bob Corkum\corkubo01,33,TOT,C,75,7,7,14,-8,22,0.0,6,1,0,0,7,0,0,66,10.6,946,12:37
145,Bob Corkum\corkubo01,33,LAK,C,58,4,6,10,-12,18,-0.5,3,1,0,0,6,0,0,47,8.5,753,12:59
145,Bob Corkum\corkubo01,33,NJD,C,17,3,1,4,4,4,0.5,3,0,0,0,1,0,0,19,15.8,192,11:19
146,Daniel Corso\corsoda01,22,STL,C,28,10,3,13,0,14,1.8,5,5,0,4,2,1,0,42,23.8,390,13:56
147,Shayne Corson\corsosh01,34,TOR,C,77,8,18,26,1,189,1.4,8,0,0,2,15,3,0,102,7.8,1220,15:50
148,Patrick Cote\cotepa01,26,EDM,LW,6,0,0,0,-2,18,-0.1,0,0,0,0,0,0,0,0,,19,3:07
149,Sylvain Cote\cotesy01,35,WSH,D,68,7,11,18,-3,18,3.7,5,1,1,1,5,6,0,86,8.1,1210,17:47
150,Jeff Cowan\cowanje01,24,CGY,LW,51,9,4,13,-8,74,1.2,7,2,0,1,3,1,0,48,18.8,465,9:06
151,Cory Cross\crossco01,30,TOR,D,41,3,5,8,7,50,2.4,2,1,0,1,5,0,0,34,8.8,738,18:00
152,Mike Crowley\crowlmi01,25,MDA,D,39,1,10,11,-16,20,1.0,1,0,0,1,8,2,0,45,2.2,677,17:21
153,Greg Crozier\crozigr01,24,PIT,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,4,4:10
154,David Cullen\culleda01,24,PHX,D,2,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,,25,12:25
155,Matt Cullen\cullema01,24,MDA,C,82,10,30,40,-23,38,2.1,6,4,0,1,19,11,0,159,6.3,1496,18:15
156,Jassen Cullimore\cullija01,28,TBL,D,74,1,6,7,-6,80,2.0,1,0,0,0,5,1,0,56,1.8,1458,19:43
157,Jim Cummins\cummiji01,30,MDA,RW,79,5,6,11,-11,167,0.4,5,0,0,1,6,0,0,45,11.1,572,7:14
158,Jakub Cutta\cuttaja01,19,WSH,D,3,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,1,0.0,35,11:33
159,Mariusz Czerkawski\czerkma01,28,NYI,RW,82,30,32,62,-24,48,6.2,19,10,1,0,20,11,1,287,10.5,1536,18:44
160,Andreas Dackell\dackean01,28,OTT,RW,81,13,18,31,7,24,2.7,12,1,0,3,17,0,1,72,18.1,1136,14:02
161,Pierre Dagenais\dagenpi01,22,NJD,RW,9,3,2,5,1,6,0.6,2,1,0,1,1,1,0,20,15.0,111,12:22
